metric,lambda,alpha_code_parameter,simulated_training,inner_validation_count,mean_inner_smape_percent,std_inner_smape_percent,mean_inner_absolute_log_error,selected_lambda,selection_status,boundary_hit,boundary_side,min_required_inner_validations,selection_track,selected_for_forecast
tourism_comprehensive_income,0.3162277660,0.3162277660,True,7,16.1779785695,19.6466046718,0.1646114522,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,0.5623413252,0.5623413252,True,7,16.7185051740,19.4322796125,0.1699874249,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,1.0000000000,1.0000000000,True,7,18.0644668237,18.7991913625,0.1834081523,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,1.7782794100,1.7782794100,True,7,21.2308992408,16.6722660439,0.2150415858,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,3.1622776602,3.1622776602,True,7,25.5453035669,13.5577813309,0.2582502718,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,5.6234132519,5.6234132519,True,7,30.7187883158,9.3032509034,0.3103526016,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,10.0000000000,10.0000000000,True,7,36.0331962351,4.0272006231,0.3644503342,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,17.7827941004,17.7827941004,True,7,40.6360060052,2.8019739252,0.4121676857,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,31.6227766017,31.6227766017,True,7,43.9990509088,8.7807513527,0.4480163032,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,56.2341325190,56.2341325190,True,7,46.1169949554,14.2478534229,0.4714510221,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,100.0000000000,100.0000000000,True,7,47.3150127463,18.5108388475,0.4852936159,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
tourism_comprehensive_income,177.8279410039,177.8279410039,True,7,47.9547176361,21.4879522508,0.4930119448,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,fold_local_augmented_sensitivity,True
