track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.7782794100,1.7782794100,2018,8,8,2017,2660.0000000000,2319.5415956892,13.6742869908,0.1369565447,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.7782794100,1.7782794100,2019,9,9,2018,2800.0000000000,2596.7442774500,7.5325311744,0.0753609578,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,1.7782794100,1.7782794100,2023,10,13,2019,2363.0000000000,3361.9168314108,34.8971648262,0.3525792986,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,3.1622776602,3.1622776602,2014,4,4,2013,1553.4000000000,1293.0866717769,18.2901491023,0.1834139479,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,3.1622776602,3.1622776602,2015,5,5,2014,1818.7200000000,1484.7587344577,20.2187628489,0.2028806663,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,3.1622776602,3.1622776602,2016,6,6,2015,2086.0000000000,1710.8424775206,19.7615531695,0.1982624305,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,3.1622776602,3.1622776602,2017,7,7,2016,2392.0000000000,1954.0809750199,20.1523638191,0.2022098427,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,3.1622776602,3.1622776602,2018,8,8,2017,2660.0000000000,2221.7048762579,17.9566415772,0.1800512594,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,3.1622776602,3.1622776602,2019,9,9,2018,2800.0000000000,2489.6893714600,11.7326597745,0.1174614649,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,3.1622776602,3.1622776602,2023,10,13,2019,2363.0000000000,3202.2449678453,30.1602165833,0.3039201181,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,5.6234132519,5.6234132519,2014,4,4,2013,1553.4000000000,1243.2966144859,22.1764051136,0.2226796650,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,5.6234132519,5.6234132519,2015,5,5,2014,1818.7200000000,1416.3327138872,24.8767066073,0.2500620219,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,5.6234132519,5.6234132519,2016,6,6,2015,2086.0000000000,1622.6411626556,24.9880652790,0.2511931876,True
