track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0177827941,0.0177827941,2015,5,5,2014,94.0000000000,86.2807667368,8.5635682640,0.0856880742,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0177827941,0.0177827941,2017,6,6,2015,130.0000000000,113.2293095610,13.7900242937,0.1381193998,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0316227766,0.0316227766,2014,4,4,2013,79.0000000000,71.2647888568,10.2954407377,0.1030454920,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0316227766,0.0316227766,2015,5,5,2014,94.0000000000,86.1951226207,8.6626954890,0.0866811883,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0316227766,0.0316227766,2017,6,6,2015,130.0000000000,113.1108888447,13.8941626478,0.1391657957,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0562341325,0.0562341325,2014,4,4,2013,79.0000000000,71.1307904296,10.4831387990,0.1049275513,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0562341325,0.0562341325,2015,5,5,2014,94.0000000000,86.0439816477,8.8378609266,0.0884362022,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.0562341325,0.0562341325,2017,6,6,2015,130.0000000000,112.9016407386,14.0784222036,0.1410174467,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1000000000,0.1000000000,2014,4,4,2013,79.0000000000,70.8964777805,10.8121582835,0.1082270989,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1000000000,0.1000000000,2015,5,5,2014,94.0000000000,85.7788142588,9.1458893809,0.0915227263,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1000000000,0.1000000000,2017,6,6,2015,130.0000000000,112.5337101686,14.4031852885,0.1442816278,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1778279410,0.1778279410,2014,4,4,2013,79.0000000000,70.4919315123,11.3826457410,0.1139495958,False
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,0.1778279410,0.1778279410,2015,5,5,2014,94.0000000000,85.3183460268,9.6829512045,0.0969052744,False
